,right,r_d,straight,l_d,left,back,type_3
107,train_set/air_max_90/Nike_Air_Max_90_OFF-WHITE_right.jpg,train_set/air_max_90/Nike_Air_Max_90_OFF-WHITE_r_d.jpg,train_set/air_max_90/Nike_Air_Max_90_OFF-WHITE_straight.jpg,train_set/air_max_90/Nike_Air_Max_90_OFF-WHITE_l_d.jpg,train_set/air_max_90/Nike_Air_Max_90_OFF-WHITE_left.jpg,train_set/air_max_90/Nike_Air_Max_90_OFF-WHITE_back.jpg,air_max_90
346,train_set/running/Nike_React_Element_87_Red_Orbit_right.jpg,train_set/running/Nike_React_Element_87_Red_Orbit_r_d.jpg,train_set/running/Nike_React_Element_87_Red_Orbit_straight.jpg,train_set/running/Nike_React_Element_87_Red_Orbit_l_d.jpg,train_set/running/Nike_React_Element_87_Red_Orbit_left.jpg,train_set/running/Nike_React_Element_87_Red_Orbit_back.jpg,running
932,train_set/foamposite/Nike_Air_Foamposite_One_Rust_Pink_right.jpg,train_set/foamposite/Nike_Air_Foamposite_One_Rust_Pink_r_d.jpg,train_set/foamposite/Nike_Air_Foamposite_One_Rust_Pink_straight.jpg,train_set/foamposite/Nike_Air_Foamposite_One_Rust_Pink_l_d.jpg,train_set/foamposite/Nike_Air_Foamposite_One_Rust_Pink_left.jpg,train_set/foamposite/Nike_Air_Foamposite_One_Rust_Pink_back.jpg,foamposite
944,train_set/running/Nike_Air_Zoom_Pegasus_36_Trail_Gyakusou_Yellow6.jpg,train_set/running/Nike_Air_Zoom_Pegasus_36_Trail_Gyakusou_Yellow7.jpg,train_set/running/Nike_Air_Zoom_Pegasus_36_Trail_Gyakusou_Yellow8.jpg,train_set/running/Nike_Air_Zoom_Pegasus_36_Trail_Gyakusou_Yellow9.jpg,train_set/running/Nike_Air_Zoom_Pegasus_36_Trail_Gyakusou_Yellow10.jpg,train_set/running/Nike_Air_Zoom_Pegasus_36_Trail_Gyakusou_Yellow11.jpg,running
51,train_set/running/Nike_Zoom_Fly_Off-White_Pink_right.jpg,train_set/running/Nike_Zoom_Fly_Off-White_Pink_r_d.jpg,train_set/running/Nike_Zoom_Fly_Off-White_Pink_straight.jpg,train_set/running/Nike_Zoom_Fly_Off-White_Pink_l_d.jpg,train_set/running/Nike_Zoom_Fly_Off-White_Pink_left.jpg,train_set/running/Nike_Zoom_Fly_Off-White_Pink_back.jpg,running
1238,train_set/skateboarding/Nike_SB_Dunk_Low_Raygun_Tie-Dye_White6.jpg,train_set/skateboarding/Nike_SB_Dunk_Low_Raygun_Tie-Dye_White7.jpg,train_set/skateboarding/Nike_SB_Dunk_Low_Raygun_Tie-Dye_White8.jpg,train_set/skateboarding/Nike_SB_Dunk_Low_Raygun_Tie-Dye_White9.jpg,train_set/skateboarding/Nike_SB_Dunk_Low_Raygun_Tie-Dye_White10.jpg,train_set/skateboarding/Nike_SB_Dunk_Low_Raygun_Tie-Dye_White11.jpg,skateboarding
1426,train_set/foamposite/Nike_Air_Foamposite_One_Shattered_Backboard6.jpg,train_set/foamposite/Nike_Air_Foamposite_One_Shattered_Backboard7.jpg,train_set/foamposite/Nike_Air_Foamposite_One_Shattered_Backboard8.jpg,train_set/foamposite/Nike_Air_Foamposite_One_Shattered_Backboard9.jpg,train_set/foamposite/Nike_Air_Foamposite_One_Shattered_Backboard10.jpg,train_set/foamposite/Nike_Air_Foamposite_One_Shattered_Backboard11.jpg,foamposite
588,train_set/running/Nike_Zoom_Vomero_5_Electric_Green_Black_right.jpg,train_set/running/Nike_Zoom_Vomero_5_Electric_Green_Black_r_d.jpg,train_set/running/Nike_Zoom_Vomero_5_Electric_Green_Black_straight.jpg,train_set/running/Nike_Zoom_Vomero_5_Electric_Green_Black_l_d.jpg,train_set/running/Nike_Zoom_Vomero_5_Electric_Green_Black_left.jpg,train_set/running/Nike_Zoom_Vomero_5_Electric_Green_Black_back.jpg,running
1306,train_set/air_max_1/Nike_Air_Max_1_Swipa6.jpg,train_set/air_max_1/Nike_Air_Max_1_Swipa7.jpg,train_set/air_max_1/Nike_Air_Max_1_Swipa8.jpg,train_set/air_max_1/Nike_Air_Max_1_Swipa9.jpg,train_set/air_max_1/Nike_Air_Max_1_Swipa10.jpg,train_set/air_max_1/Nike_Air_Max_1_Swipa11.jpg,air_max_1
742,train_set/air_max/Nike_Air_Max_180_Ultramarine_2018_right.jpg,train_set/air_max/Nike_Air_Max_180_Ultramarine_2018_r_d.jpg,train_set/air_max/Nike_Air_Max_180_Ultramarine_2018_straight.jpg,train_set/air_max/Nike_Air_Max_180_Ultramarine_2018_l_d.jpg,train_set/air_max/Nike_Air_Max_180_Ultramarine_2018_left.jpg,train_set/air_max/Nike_Air_Max_180_Ultramarine_2018_back.jpg,air_max
1000,train_set/air_force_1/Nike_Air_Force_1_Low_White_Deep_Royal6.jpg,train_set/air_force_1/Nike_Air_Force_1_Low_White_Deep_Royal7.jpg,train_set/air_force_1/Nike_Air_Force_1_Low_White_Deep_Royal8.jpg,train_set/air_force_1/Nike_Air_Force_1_Low_White_Deep_Royal9.jpg,train_set/air_force_1/Nike_Air_Force_1_Low_White_Deep_Royal10.jpg,train_set/air_force_1/Nike_Air_Force_1_Low_White_Deep_Royal11.jpg,air_force_1
1090,train_set/air_max/Nike_Air_Max_95_Day_of_the_Dead_20196.jpg,train_set/air_max/Nike_Air_Max_95_Day_of_the_Dead_20197.jpg,train_set/air_max/Nike_Air_Max_95_Day_of_the_Dead_20198.jpg,train_set/air_max/Nike_Air_Max_95_Day_of_the_Dead_20199.jpg,train_set/air_max/Nike_Air_Max_95_Day_of_the_Dead_201910.jpg,train_set/air_max/Nike_Air_Max_95_Day_of_the_Dead_201911.jpg,air_max
535,train_set/air_max_vapormax/Nike_Air_VaporMax_Plus_Lemon_Lime_W_right.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_Plus_Lemon_Lime_W_r_d.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_Plus_Lemon_Lime_W_straight.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_Plus_Lemon_Lime_W_l_d.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_Plus_Lemon_Lime_W_left.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_Plus_Lemon_Lime_W_back.jpg,air_max_vapormax
605,train_set/basketball/Nike_Mamba_Focus_Lakers_right.jpg,train_set/basketball/Nike_Mamba_Focus_Lakers_r_d.jpg,train_set/basketball/Nike_Mamba_Focus_Lakers_straight.jpg,train_set/basketball/Nike_Mamba_Focus_Lakers_l_d.jpg,train_set/basketball/Nike_Mamba_Focus_Lakers_left.jpg,train_set/basketball/Nike_Mamba_Focus_Lakers_back.jpg,basketball
344,train_set/air_max_90/Nike_Air_Max_90_Camowabb_right.jpg,train_set/air_max_90/Nike_Air_Max_90_Camowabb_r_d.jpg,train_set/air_max_90/Nike_Air_Max_90_Camowabb_straight.jpg,train_set/air_max_90/Nike_Air_Max_90_Camowabb_l_d.jpg,train_set/air_max_90/Nike_Air_Max_90_Camowabb_left.jpg,train_set/air_max_90/Nike_Air_Max_90_Camowabb_back.jpg,air_max_90
837,train_set/air_max_vapormax/Nike_Air_VaporMax_2019_Dark_Team_Red_University_Red_right.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_2019_Dark_Team_Red_University_Red_r_d.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_2019_Dark_Team_Red_University_Red_straight.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_2019_Dark_Team_Red_University_Red_l_d.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_2019_Dark_Team_Red_University_Red_left.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_2019_Dark_Team_Red_University_Red_back.jpg,air_max_vapormax
943,train_set/skateboarding/Nike_SB_Dunk_Low_Rivals_Pack_East_right.jpg,train_set/skateboarding/Nike_SB_Dunk_Low_Rivals_Pack_East_r_d.jpg,train_set/skateboarding/Nike_SB_Dunk_Low_Rivals_Pack_East_straight.jpg,train_set/skateboarding/Nike_SB_Dunk_Low_Rivals_Pack_East_l_d.jpg,train_set/skateboarding/Nike_SB_Dunk_Low_Rivals_Pack_East_left.jpg,train_set/skateboarding/Nike_SB_Dunk_Low_Rivals_Pack_East_back.jpg,skateboarding
495,train_set/air_force_1/Nike_Air_Force_1_Low_Anthracite_right.jpg,train_set/air_force_1/Nike_Air_Force_1_Low_Anthracite_r_d.jpg,train_set/air_force_1/Nike_Air_Force_1_Low_Anthracite_straight.jpg,train_set/air_force_1/Nike_Air_Force_1_Low_Anthracite_l_d.jpg,train_set/air_force_1/Nike_Air_Force_1_Low_Anthracite_left.jpg,train_set/air_force_1/Nike_Air_Force_1_Low_Anthracite_back.jpg,air_force_1
1377,train_set/other/Nike_Killshot_2_Leather_J_Crew6.jpg,train_set/other/Nike_Killshot_2_Leather_J_Crew7.jpg,train_set/other/Nike_Killshot_2_Leather_J_Crew8.jpg,train_set/other/Nike_Killshot_2_Leather_J_Crew9.jpg,train_set/other/Nike_Killshot_2_Leather_J_Crew10.jpg,train_set/other/Nike_Killshot_2_Leather_J_Crew11.jpg,other
1433,train_set/foamposite/Nike_Air_Foamposite_One_Big_Bang6.jpg,train_set/foamposite/Nike_Air_Foamposite_One_Big_Bang7.jpg,train_set/foamposite/Nike_Air_Foamposite_One_Big_Bang8.jpg,train_set/foamposite/Nike_Air_Foamposite_One_Big_Bang9.jpg,train_set/foamposite/Nike_Air_Foamposite_One_Big_Bang10.jpg,train_set/foamposite/Nike_Air_Foamposite_One_Big_Bang11.jpg,foamposite
700,train_set/basketball/Nike_Kobe_5_Protro_2K_Gamer_Exclusive_right.jpg,train_set/basketball/Nike_Kobe_5_Protro_2K_Gamer_Exclusive_r_d.jpg,train_set/basketball/Nike_Kobe_5_Protro_2K_Gamer_Exclusive_straight.jpg,train_set/basketball/Nike_Kobe_5_Protro_2K_Gamer_Exclusive_l_d.jpg,train_set/basketball/Nike_Kobe_5_Protro_2K_Gamer_Exclusive_left.jpg,train_set/basketball/Nike_Kobe_5_Protro_2K_Gamer_Exclusive_back.jpg,basketball
880,train_set/air_force_1/Nike_Air_Force_1_Low_Utility_Black_White_right.jpg,train_set/air_force_1/Nike_Air_Force_1_Low_Utility_Black_White_r_d.jpg,train_set/air_force_1/Nike_Air_Force_1_Low_Utility_Black_White_straight.jpg,train_set/air_force_1/Nike_Air_Force_1_Low_Utility_Black_White_l_d.jpg,train_set/air_force_1/Nike_Air_Force_1_Low_Utility_Black_White_left.jpg,train_set/air_force_1/Nike_Air_Force_1_Low_Utility_Black_White_back.jpg,air_force_1
355,train_set/foamposite/Nike_Air_Foamposite_One_Cracked_Lava_right.jpg,train_set/foamposite/Nike_Air_Foamposite_One_Cracked_Lava_r_d.jpg,train_set/foamposite/Nike_Air_Foamposite_One_Cracked_Lava_straight.jpg,train_set/foamposite/Nike_Air_Foamposite_One_Cracked_Lava_l_d.jpg,train_set/foamposite/Nike_Air_Foamposite_One_Cracked_Lava_left.jpg,train_set/foamposite/Nike_Air_Foamposite_One_Cracked_Lava_back.jpg,foamposite
1040,train_set/air_max_vapormax/Nike_Air_VaporMax_Flyknit_2_Black_Multi-Color_W6.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_Flyknit_2_Black_Multi-Color_W7.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_Flyknit_2_Black_Multi-Color_W8.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_Flyknit_2_Black_Multi-Color_W9.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_Flyknit_2_Black_Multi-Color_W10.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_Flyknit_2_Black_Multi-Color_W11.jpg,air_max_vapormax
869,train_set/basketball/Nike_Kobe_4_Protro_Draft_Day_Hornets_right.jpg,train_set/basketball/Nike_Kobe_4_Protro_Draft_Day_Hornets_r_d.jpg,train_set/basketball/Nike_Kobe_4_Protro_Draft_Day_Hornets_straight.jpg,train_set/basketball/Nike_Kobe_4_Protro_Draft_Day_Hornets_l_d.jpg,train_set/basketball/Nike_Kobe_4_Protro_Draft_Day_Hornets_left.jpg,train_set/basketball/Nike_Kobe_4_Protro_Draft_Day_Hornets_back.jpg,basketball
1265,train_set/skateboarding/Nike_SB_Dunk_Low_Pro_Hennessy6.jpg,train_set/skateboarding/Nike_SB_Dunk_Low_Pro_Hennessy7.jpg,train_set/skateboarding/Nike_SB_Dunk_Low_Pro_Hennessy8.jpg,train_set/skateboarding/Nike_SB_Dunk_Low_Pro_Hennessy9.jpg,train_set/skateboarding/Nike_SB_Dunk_Low_Pro_Hennessy10.jpg,train_set/skateboarding/Nike_SB_Dunk_Low_Pro_Hennessy11.jpg,skateboarding
476,train_set/air_max_97/Nike_Air_Max_97_White_Hot_right.jpg,train_set/air_max_97/Nike_Air_Max_97_White_Hot_r_d.jpg,train_set/air_max_97/Nike_Air_Max_97_White_Hot_straight.jpg,train_set/air_max_97/Nike_Air_Max_97_White_Hot_l_d.jpg,train_set/air_max_97/Nike_Air_Max_97_White_Hot_left.jpg,train_set/air_max_97/Nike_Air_Max_97_White_Hot_back.jpg,air_max_97
307,train_set/air_max_vapormax/Nike_Air_VaporMax_Plus_University_Gold_W_right.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_Plus_University_Gold_W_r_d.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_Plus_University_Gold_W_straight.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_Plus_University_Gold_W_l_d.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_Plus_University_Gold_W_left.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_Plus_University_Gold_W_back.jpg,air_max_vapormax
1125,train_set/air_max_97/Nike_Air_Max_97_Leopard_Pack_Black_W6.jpg,train_set/air_max_97/Nike_Air_Max_97_Leopard_Pack_Black_W7.jpg,train_set/air_max_97/Nike_Air_Max_97_Leopard_Pack_Black_W8.jpg,train_set/air_max_97/Nike_Air_Max_97_Leopard_Pack_Black_W9.jpg,train_set/air_max_97/Nike_Air_Max_97_Leopard_Pack_Black_W10.jpg,train_set/air_max_97/Nike_Air_Max_97_Leopard_Pack_Black_W11.jpg,air_max_97
1093,train_set/air_max/Nike_Air_Max_98_La_Mezcla6.jpg,train_set/air_max/Nike_Air_Max_98_La_Mezcla7.jpg,train_set/air_max/Nike_Air_Max_98_La_Mezcla8.jpg,train_set/air_max/Nike_Air_Max_98_La_Mezcla9.jpg,train_set/air_max/Nike_Air_Max_98_La_Mezcla10.jpg,train_set/air_max/Nike_Air_Max_98_La_Mezcla11.jpg,air_max
890,train_set/running/Nike_Zoom_Vomero_5_A_Cold_Wall_Sail_right.jpg,train_set/running/Nike_Zoom_Vomero_5_A_Cold_Wall_Sail_r_d.jpg,train_set/running/Nike_Zoom_Vomero_5_A_Cold_Wall_Sail_straight.jpg,train_set/running/Nike_Zoom_Vomero_5_A_Cold_Wall_Sail_l_d.jpg,train_set/running/Nike_Zoom_Vomero_5_A_Cold_Wall_Sail_left.jpg,train_set/running/Nike_Zoom_Vomero_5_A_Cold_Wall_Sail_back.jpg,running
347,train_set/other/Nike_Killshot_2_Leather_J_Crew_right.jpg,train_set/other/Nike_Killshot_2_Leather_J_Crew_r_d.jpg,train_set/other/Nike_Killshot_2_Leather_J_Crew_straight.jpg,train_set/other/Nike_Killshot_2_Leather_J_Crew_l_d.jpg,train_set/other/Nike_Killshot_2_Leather_J_Crew_left.jpg,train_set/other/Nike_Killshot_2_Leather_J_Crew_back.jpg,other
493,train_set/air_force_1/Nike_Air_Force_1_Low_Removable_Swoosh_Pack_White_Vachetta_Tan_right.jpg,train_set/air_force_1/Nike_Air_Force_1_Low_Removable_Swoosh_Pack_White_Vachetta_Tan_r_d.jpg,train_set/air_force_1/Nike_Air_Force_1_Low_Removable_Swoosh_Pack_White_Vachetta_Tan_straight.jpg,train_set/air_force_1/Nike_Air_Force_1_Low_Removable_Swoosh_Pack_White_Vachetta_Tan_l_d.jpg,train_set/air_force_1/Nike_Air_Force_1_Low_Removable_Swoosh_Pack_White_Vachetta_Tan_left.jpg,train_set/air_force_1/Nike_Air_Force_1_Low_Removable_Swoosh_Pack_White_Vachetta_Tan_back.jpg,air_force_1
1315,train_set/air_max_1/Nike_Air_Max_1_White_Light_Blue_Fury_W6.jpg,train_set/air_max_1/Nike_Air_Max_1_White_Light_Blue_Fury_W7.jpg,train_set/air_max_1/Nike_Air_Max_1_White_Light_Blue_Fury_W8.jpg,train_set/air_max_1/Nike_Air_Max_1_White_Light_Blue_Fury_W9.jpg,train_set/air_max_1/Nike_Air_Max_1_White_Light_Blue_Fury_W10.jpg,train_set/air_max_1/Nike_Air_Max_1_White_Light_Blue_Fury_W11.jpg,air_max_1
1118,train_set/air_max_97/Nike_Air_Max_97_Cristiano_Ronaldo_Portugal_Patchwork6.jpg,train_set/air_max_97/Nike_Air_Max_97_Cristiano_Ronaldo_Portugal_Patchwork7.jpg,train_set/air_max_97/Nike_Air_Max_97_Cristiano_Ronaldo_Portugal_Patchwork8.jpg,train_set/air_max_97/Nike_Air_Max_97_Cristiano_Ronaldo_Portugal_Patchwork9.jpg,train_set/air_max_97/Nike_Air_Max_97_Cristiano_Ronaldo_Portugal_Patchwork10.jpg,train_set/air_max_97/Nike_Air_Max_97_Cristiano_Ronaldo_Portugal_Patchwork11.jpg,air_max_97
989,train_set/air_force_1/Nike_SF_Air_Force_1_High_Dusty_Peach6.jpg,train_set/air_force_1/Nike_SF_Air_Force_1_High_Dusty_Peach7.jpg,train_set/air_force_1/Nike_SF_Air_Force_1_High_Dusty_Peach8.jpg,train_set/air_force_1/Nike_SF_Air_Force_1_High_Dusty_Peach9.jpg,train_set/air_force_1/Nike_SF_Air_Force_1_High_Dusty_Peach10.jpg,train_set/air_force_1/Nike_SF_Air_Force_1_High_Dusty_Peach11.jpg,air_force_1
1127,train_set/air_max_97/Nike_Air_Max_97_Corduroy_Light_Blue6.jpg,train_set/air_max_97/Nike_Air_Max_97_Corduroy_Light_Blue7.jpg,train_set/air_max_97/Nike_Air_Max_97_Corduroy_Light_Blue8.jpg,train_set/air_max_97/Nike_Air_Max_97_Corduroy_Light_Blue9.jpg,train_set/air_max_97/Nike_Air_Max_97_Corduroy_Light_Blue10.jpg,train_set/air_max_97/Nike_Air_Max_97_Corduroy_Light_Blue11.jpg,air_max_97
1081,train_set/air_max/Nike_Air_Max_Plus_3_Hyper_Blue6.jpg,train_set/air_max/Nike_Air_Max_Plus_3_Hyper_Blue7.jpg,train_set/air_max/Nike_Air_Max_Plus_3_Hyper_Blue8.jpg,train_set/air_max/Nike_Air_Max_Plus_3_Hyper_Blue9.jpg,train_set/air_max/Nike_Air_Max_Plus_3_Hyper_Blue10.jpg,train_set/air_max/Nike_Air_Max_Plus_3_Hyper_Blue11.jpg,air_max
676,train_set/foamposite/Nike_Air_Foamposite_One_Navy_Gum_right.jpg,train_set/foamposite/Nike_Air_Foamposite_One_Navy_Gum_r_d.jpg,train_set/foamposite/Nike_Air_Foamposite_One_Navy_Gum_straight.jpg,train_set/foamposite/Nike_Air_Foamposite_One_Navy_Gum_l_d.jpg,train_set/foamposite/Nike_Air_Foamposite_One_Navy_Gum_left.jpg,train_set/foamposite/Nike_Air_Foamposite_One_Navy_Gum_back.jpg,foamposite
1056,train_set/air_max/Nike_Air_Max_Plus_White_Red_Blue6.jpg,train_set/air_max/Nike_Air_Max_Plus_White_Red_Blue7.jpg,train_set/air_max/Nike_Air_Max_Plus_White_Red_Blue8.jpg,train_set/air_max/Nike_Air_Max_Plus_White_Red_Blue9.jpg,train_set/air_max/Nike_Air_Max_Plus_White_Red_Blue10.jpg,train_set/air_max/Nike_Air_Max_Plus_White_Red_Blue11.jpg,air_max
300,train_set/air_force_1/Nike_Air_Force_1_Low_BHM_2020_right.jpg,train_set/air_force_1/Nike_Air_Force_1_Low_BHM_2020_r_d.jpg,train_set/air_force_1/Nike_Air_Force_1_Low_BHM_2020_straight.jpg,train_set/air_force_1/Nike_Air_Force_1_Low_BHM_2020_l_d.jpg,train_set/air_force_1/Nike_Air_Force_1_Low_BHM_2020_left.jpg,train_set/air_force_1/Nike_Air_Force_1_Low_BHM_2020_back.jpg,air_force_1
867,train_set/running/Nike_Air_Presto_Mid_Acronym_Racer_Pink_right.jpg,train_set/running/Nike_Air_Presto_Mid_Acronym_Racer_Pink_r_d.jpg,train_set/running/Nike_Air_Presto_Mid_Acronym_Racer_Pink_straight.jpg,train_set/running/Nike_Air_Presto_Mid_Acronym_Racer_Pink_l_d.jpg,train_set/running/Nike_Air_Presto_Mid_Acronym_Racer_Pink_left.jpg,train_set/running/Nike_Air_Presto_Mid_Acronym_Racer_Pink_back.jpg,running
1033,train_set/air_max_vapormax/Nike_Air_VaporMax_2019_Cream_Light_Bone_W6.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_2019_Cream_Light_Bone_W7.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_2019_Cream_Light_Bone_W8.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_2019_Cream_Light_Bone_W9.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_2019_Cream_Light_Bone_W10.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_2019_Cream_Light_Bone_W11.jpg,air_max_vapormax
1111,train_set/air_max/Nike_Air_Max_2_Light_Atmos6.jpg,train_set/air_max/Nike_Air_Max_2_Light_Atmos7.jpg,train_set/air_max/Nike_Air_Max_2_Light_Atmos8.jpg,train_set/air_max/Nike_Air_Max_2_Light_Atmos9.jpg,train_set/air_max/Nike_Air_Max_2_Light_Atmos10.jpg,train_set/air_max/Nike_Air_Max_2_Light_Atmos11.jpg,air_max
402,train_set/air_max_1/Nike_Air_Max_1_Wolf_Grey_White_right.jpg,train_set/air_max_1/Nike_Air_Max_1_Wolf_Grey_White_r_d.jpg,train_set/air_max_1/Nike_Air_Max_1_Wolf_Grey_White_straight.jpg,train_set/air_max_1/Nike_Air_Max_1_Wolf_Grey_White_l_d.jpg,train_set/air_max_1/Nike_Air_Max_1_Wolf_Grey_White_left.jpg,train_set/air_max_1/Nike_Air_Max_1_Wolf_Grey_White_back.jpg,air_max_1
241,train_set/basketball/Nike_Air_More_Money_Metallic_Gold_Black_right.jpg,train_set/basketball/Nike_Air_More_Money_Metallic_Gold_Black_r_d.jpg,train_set/basketball/Nike_Air_More_Money_Metallic_Gold_Black_straight.jpg,train_set/basketball/Nike_Air_More_Money_Metallic_Gold_Black_l_d.jpg,train_set/basketball/Nike_Air_More_Money_Metallic_Gold_Black_left.jpg,train_set/basketball/Nike_Air_More_Money_Metallic_Gold_Black_back.jpg,basketball
526,train_set/running/Nike_Air_Zoom_Alphafly_Next%_Black_Electric_Green_right.jpg,train_set/running/Nike_Air_Zoom_Alphafly_Next%_Black_Electric_Green_r_d.jpg,train_set/running/Nike_Air_Zoom_Alphafly_Next%_Black_Electric_Green_straight.jpg,train_set/running/Nike_Air_Zoom_Alphafly_Next%_Black_Electric_Green_l_d.jpg,train_set/running/Nike_Air_Zoom_Alphafly_Next%_Black_Electric_Green_left.jpg,train_set/running/Nike_Air_Zoom_Alphafly_Next%_Black_Electric_Green_back.jpg,running
586,train_set/foamposite/Nike_Air_Foamposite_One_Legion_Green_right.jpg,train_set/foamposite/Nike_Air_Foamposite_One_Legion_Green_r_d.jpg,train_set/foamposite/Nike_Air_Foamposite_One_Legion_Green_straight.jpg,train_set/foamposite/Nike_Air_Foamposite_One_Legion_Green_l_d.jpg,train_set/foamposite/Nike_Air_Foamposite_One_Legion_Green_left.jpg,train_set/foamposite/Nike_Air_Foamposite_One_Legion_Green_back.jpg,foamposite
964,train_set/running/Nike_Air_Tailwind_79_White_Phantom_Black6.jpg,train_set/running/Nike_Air_Tailwind_79_White_Phantom_Black7.jpg,train_set/running/Nike_Air_Tailwind_79_White_Phantom_Black8.jpg,train_set/running/Nike_Air_Tailwind_79_White_Phantom_Black9.jpg,train_set/running/Nike_Air_Tailwind_79_White_Phantom_Black10.jpg,train_set/running/Nike_Air_Tailwind_79_White_Phantom_Black11.jpg,running
138,train_set/skateboarding/Nike_Dunk_SB_Low_Stussy_Cherry_right.jpg,train_set/skateboarding/Nike_Dunk_SB_Low_Stussy_Cherry_r_d.jpg,train_set/skateboarding/Nike_Dunk_SB_Low_Stussy_Cherry_straight.jpg,train_set/skateboarding/Nike_Dunk_SB_Low_Stussy_Cherry_l_d.jpg,train_set/skateboarding/Nike_Dunk_SB_Low_Stussy_Cherry_left.jpg,train_set/skateboarding/Nike_Dunk_SB_Low_Stussy_Cherry_back.jpg,skateboarding
601,train_set/air_force_1/Nike_Air_Force_1_Low_Metallic_Gold_W_right.jpg,train_set/air_force_1/Nike_Air_Force_1_Low_Metallic_Gold_W_r_d.jpg,train_set/air_force_1/Nike_Air_Force_1_Low_Metallic_Gold_W_straight.jpg,train_set/air_force_1/Nike_Air_Force_1_Low_Metallic_Gold_W_l_d.jpg,train_set/air_force_1/Nike_Air_Force_1_Low_Metallic_Gold_W_left.jpg,train_set/air_force_1/Nike_Air_Force_1_Low_Metallic_Gold_W_back.jpg,air_force_1
52,train_set/running/Nike_Daybreak_Undercover_Blue_Jay_right.jpg,train_set/running/Nike_Daybreak_Undercover_Blue_Jay_r_d.jpg,train_set/running/Nike_Daybreak_Undercover_Blue_Jay_straight.jpg,train_set/running/Nike_Daybreak_Undercover_Blue_Jay_l_d.jpg,train_set/running/Nike_Daybreak_Undercover_Blue_Jay_left.jpg,train_set/running/Nike_Daybreak_Undercover_Blue_Jay_back.jpg,running
1032,train_set/air_max_vapormax/Nike_Air_VaporMax_Flyknit_3_White_Reflect_Silver_W6.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_Flyknit_3_White_Reflect_Silver_W7.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_Flyknit_3_White_Reflect_Silver_W8.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_Flyknit_3_White_Reflect_Silver_W9.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_Flyknit_3_White_Reflect_Silver_W10.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_Flyknit_3_White_Reflect_Silver_W11.jpg,air_max_vapormax
209,train_set/air_max_vapormax/Nike_Air_VaporMax_Plus_Triple_Red_right.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_Plus_Triple_Red_r_d.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_Plus_Triple_Red_straight.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_Plus_Triple_Red_l_d.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_Plus_Triple_Red_left.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_Plus_Triple_Red_back.jpg,air_max_vapormax
1317,train_set/air_max_1/Nike_Air_Max_1_Anniversary_Aqua6.jpg,train_set/air_max_1/Nike_Air_Max_1_Anniversary_Aqua7.jpg,train_set/air_max_1/Nike_Air_Max_1_Anniversary_Aqua8.jpg,train_set/air_max_1/Nike_Air_Max_1_Anniversary_Aqua9.jpg,train_set/air_max_1/Nike_Air_Max_1_Anniversary_Aqua10.jpg,train_set/air_max_1/Nike_Air_Max_1_Anniversary_Aqua11.jpg,air_max_1
1319,train_set/air_max_1/Nike_Air_Max_1_Parra_20186.jpg,train_set/air_max_1/Nike_Air_Max_1_Parra_20187.jpg,train_set/air_max_1/Nike_Air_Max_1_Parra_20188.jpg,train_set/air_max_1/Nike_Air_Max_1_Parra_20189.jpg,train_set/air_max_1/Nike_Air_Max_1_Parra_201810.jpg,train_set/air_max_1/Nike_Air_Max_1_Parra_201811.jpg,air_max_1
